company_name,company_url
Nectar Sleep,https://www.crunchbase.com/organization/nectar-sleep-llc
Jak Logistics,https://www.crunchbase.com/organization/jak-logistics-2072
Motion Math,https://www.crunchbase.com/organization/motion-math
Blazar Capital,https://www.crunchbase.com/organization/blazar-capital
Adamatic Oy,https://www.crunchbase.com/organization/adamatic-oy
Vsevcredit.ru,https://www.crunchbase.com/organization/vsevcredit-ru
Textkernel,https://www.crunchbase.com/organization/textkernel
Fiveo,https://www.crunchbase.com/organization/fiveo
JX Technology,https://www.crunchbase.com/organization/jx-technology
TransMedia Communications,https://www.crunchbase.com/organization/transmedia-communications-sarl
Starhome Mach,https://www.crunchbase.com/organization/starhome-mach
Bluezup,https://www.crunchbase.com/organization/bluspare
Happy Era Media,https://www.crunchbase.com/organization/happy-era-media
Aisle Planner,https://www.crunchbase.com/organization/aisle-planner
Greentech Media,https://www.crunchbase.com/organization/greentech-media
Bay Pac Beverages,https://www.crunchbase.com/organization/bay-pac-beverages
FUBU,https://www.crunchbase.com/organization/fubu
Ninja,https://www.crunchbase.com/organization/ninja
Sterling Pharma Solutions,https://www.crunchbase.com/organization/sterling-pharma-solutions
Petrichor Healthcare Capital Management,https://www.crunchbase.com/organization/petrichor-healthcare-capital-management
Gamer Arena,https://www.crunchbase.com/organization/gamer-arena
Loyaller,https://www.crunchbase.com/organization/loyaller
"Elutions, Inc.",https://www.crunchbase.com/organization/elutions-inc
Intuitics,https://www.crunchbase.com/organization/intuitics
Shiply,https://www.crunchbase.com/organization/shiply
Yanzhi Zhaopin,https://www.crunchbase.com/organization/yanzhi-zhaopin
BlogTo,https://www.crunchbase.com/organization/blogto
General Datatech,https://www.crunchbase.com/organization/general-datatech
Dongfang Ejiao,https://www.crunchbase.com/organization/dongfang-ejiao
Women’s Care Florida,https://www.crunchbase.com/organization/women-s-care-florida
Dongfang Ejiao,https://www.crunchbase.com/organization/dongfang-ejiao
Women’s Care Florida,https://www.crunchbase.com/organization/women-s-care-florida
ZeroSpam,https://www.crunchbase.com/organization/zerospam
"Benshaw, Inc.",https://www.crunchbase.com/organization/benshaw-inc
Smart Flora,https://www.crunchbase.com/organization/smart-flora
Lucidpress,https://www.crunchbase.com/organization/lucidpress
Naked Apartments,https://www.crunchbase.com/organization/naked-apartments
Caliber Data Labs,https://www.crunchbase.com/organization/caliber-data-labs
"ThirdEye Gen, Inc",https://www.crunchbase.com/organization/thirdeye-gen-inc
Tomato Rubik's Cube,https://www.crunchbase.com/organization/tomato-rubik-s-cube
Big Brothers Bigsisters,https://www.crunchbase.com/organization/big-brothers-bigsisters
Navidog,https://www.crunchbase.com/organization/navidog
Mellanox Capital,https://www.crunchbase.com/organization/mellanox-capital
Life Metrics,https://www.crunchbase.com/organization/life-metrics
Mogu Hao Ayi,https://www.crunchbase.com/organization/mogu-hao-ayi
Caliber Data Labs,https://www.crunchbase.com/organization/caliber-data-labs
"ThirdEye Gen, Inc",https://www.crunchbase.com/organization/thirdeye-gen-inc
Tomato Rubik's Cube,https://www.crunchbase.com/organization/tomato-rubik-s-cube
Big Brothers Bigsisters,https://www.crunchbase.com/organization/big-brothers-bigsisters
Navidog,https://www.crunchbase.com/organization/navidog
Mellanox Capital,https://www.crunchbase.com/organization/mellanox-capital
Life Metrics,https://www.crunchbase.com/organization/life-metrics
Mogu Hao Ayi,https://www.crunchbase.com/organization/mogu-hao-ayi
Pondurance,https://www.crunchbase.com/organization/pondurance
KB Home,https://www.crunchbase.com/organization/kb-home
Printact,https://www.crunchbase.com/organization/printact
Watts Water Technologies,https://www.crunchbase.com/organization/watts-water-technologies
Fuzzit,https://www.crunchbase.com/organization/fuzzit
infinight,https://www.crunchbase.com/organization/infinight
Games.com,https://www.crunchbase.com/organization/games-com
Fuzzit,https://www.crunchbase.com/organization/fuzzit
infinight,https://www.crunchbase.com/organization/infinight
Games.com,https://www.crunchbase.com/organization/games-com
Good Chicken,https://www.crunchbase.com/organization/good-chicken
ActiveViam,https://www.crunchbase.com/organization/activeviam
Altais,https://www.crunchbase.com/organization/altais-52ec
Wedgewood,https://www.crunchbase.com/organization/wedgewood-inc
Minha Escola,https://www.crunchbase.com/organization/minha-escola-app
Centrilogic,https://www.crunchbase.com/organization/centrilogic
Workbrain,https://www.crunchbase.com/organization/workbrain
Edulife Group,https://www.crunchbase.com/organization/edulife-group
Graphene Life,https://www.crunchbase.com/organization/graphene-life
Government of Alberta,https://www.crunchbase.com/organization/government-of-alberta
Transmission,https://www.crunchbase.com/organization/transmission-c99e
Mina.energy,https://www.crunchbase.com/organization/mina-energy
Filtration Group,https://www.crunchbase.com/organization/filtration-group
Vibe,https://www.crunchbase.com/organization/vibe-3fdf
JINTOU TECHNOLOGY,https://www.crunchbase.com/organization/jintou-technology
Intel Labs,https://www.crunchbase.com/organization/intel-labs
DingTalk,https://www.crunchbase.com/organization/dingtalk
Crompton Greaves Consumer Electricals,https://www.crunchbase.com/organization/crompton-greaves-consumer-electricals
Page2Images,https://www.crunchbase.com/organization/page2images
PaperWeekly,https://www.crunchbase.com/organization/paperweekly
Entisys360 (formerly Entisys Solutions and Agile360),https://www.crunchbase.com/organization/entisys360-formerly-entisys-solutions-and-agile360
Picktime,https://www.crunchbase.com/organization/picktime
Waddell & Reed,https://www.crunchbase.com/organization/waddell-reed
The Company Lab,https://www.crunchbase.com/organization/the-company-lab
Paipaizhuan,https://www.crunchbase.com/organization/paipaizhuan
Xin Shenghuo,https://www.crunchbase.com/organization/xin-shenghuo
Renishaw,https://www.crunchbase.com/organization/renishaw
CMEA Ventures,https://www.crunchbase.com/organization/cmea-ventures
Contemi Solutions,https://www.crunchbase.com/organization/contemi
AlphaOne Operations,https://www.crunchbase.com/organization/alphaone-operations
Matterkind,https://www.crunchbase.com/organization/cadreon
RCS Doors,https://www.crunchbase.com/organization/rcs-doors
Wavely,https://www.crunchbase.com/organization/wavely-3a60
Singspiel,https://www.crunchbase.com/organization/singspiel
Shenqing Technology,https://www.crunchbase.com/organization/shenqing-technology
Koshida (U.S.A.),https://www.crunchbase.com/organization/koshida-u-s-a
YidingYouche,https://www.crunchbase.com/organization/yidingyouche
ITPro.TV,https://www.crunchbase.com/organization/itpro-tv
Philips Hue,https://www.crunchbase.com/organization/philips-hue
VCoins,https://www.crunchbase.com/organization/vcoins
Castik Capital Partners,https://www.crunchbase.com/organization/castik-capital-partners
nuvini,https://www.crunchbase.com/organization/nuvini
Castik Capital Partners,https://www.crunchbase.com/organization/castik-capital-partners
nuvini,https://www.crunchbase.com/organization/nuvini
JOT Internet Media SL,https://www.crunchbase.com/organization/jot-internet-media-sl
Sykes Cottages,https://www.crunchbase.com/organization/sykes-cottages
VIVIO Health,https://www.crunchbase.com/organization/vivio-health
Genuine SugarMummies Kenya,https://www.crunchbase.com/organization/kenya
Meshporto,https://www.crunchbase.com/organization/meshporto
Soundblast Technologies,https://www.crunchbase.com/organization/precision-impulse-enterprises
DigBids,https://www.crunchbase.com/organization/digbids
Cellular Engineering Technologies,https://www.crunchbase.com/organization/cellular-engineering-technologies
Mealcome.com,https://www.crunchbase.com/organization/mealcome-com
Veeco Instruments,https://www.crunchbase.com/organization/veeco-instruments
Userful,https://www.crunchbase.com/organization/userful
The Free Press Journal,https://www.crunchbase.com/organization/the-free-press-journal
smartKYC,https://www.crunchbase.com/organization/smartkyc
smartKYC,https://www.crunchbase.com/organization/smartkyc
spline,https://www.crunchbase.com/organization/spline
PrintEco,https://www.crunchbase.com/organization/printeco
LeapDroid,https://www.crunchbase.com/organization/leapdroid
Haufe-Lexware,https://www.crunchbase.com/organization/haufe-lexware
Tuanjian Duizhang,https://www.crunchbase.com/organization/tuanjian-duizhang
fintastic,https://www.crunchbase.com/organization/fintastic
Salesbook,https://www.crunchbase.com/organization/salesbook-9a95
Yeoner,https://www.crunchbase.com/organization/yeoner
Salus Security Devices,https://www.crunchbase.com/organization/salus-security-devices
Monday,https://www.crunchbase.com/organization/monday-6a0f
Unicorn Venture Partners,https://www.crunchbase.com/organization/unicorn-ventures
Grinding Gear Games,https://www.crunchbase.com/organization/grinding-gear-games
GradRight,https://www.crunchbase.com/organization/gradright
Miaozhua,https://www.crunchbase.com/organization/miaozhua
QI Healthcare,https://www.crunchbase.com/organization/qi-healthcare
ReadWrite,https://www.crunchbase.com/organization/readwrite
Sonarc Innovations,https://www.crunchbase.com/organization/sonarc-innovations
EMBARC,https://www.crunchbase.com/organization/embarc-76b7
Sunscoop,https://www.crunchbase.com/organization/sunscoop
Eternispring,https://www.crunchbase.com/organization/eternispring
Fashion Pills,https://www.crunchbase.com/organization/fashion-pills
House of Control,https://www.crunchbase.com/organization/house-of-control
Organo Gold,https://www.crunchbase.com/organization/organo-gold-enterprises
Cerdant,https://www.crunchbase.com/organization/cerdant
Contractsafe,https://www.crunchbase.com/organization/contractsafe
Global Healthcare Limited,https://www.crunchbase.com/organization/global-healthcare-limited
"Quryon, Inc.",https://www.crunchbase.com/organization/quryon-inc
Solectria Renewables,https://www.crunchbase.com/organization/solectria-renewables
TopDog,https://www.crunchbase.com/organization/topdog-f4c4
HeyHolidays,https://www.crunchbase.com/organization/heyholidays
Pelican Products,https://www.crunchbase.com/organization/pelican-products
Pumpkin Kart,https://www.crunchbase.com/organization/pumpkin-kart
NEXT/NOW,https://www.crunchbase.com/organization/next-now
OrderDynamics,https://www.crunchbase.com/organization/orderdynamics
73 Strings,https://www.crunchbase.com/organization/73-strings
Paradigm,https://www.crunchbase.com/organization/wts-paradigm
Freez Global,https://www.crunchbase.com/organization/freez-global
Granger City Brewing,https://www.crunchbase.com/organization/granger-city-brewing
realworld one,https://www.crunchbase.com/organization/realworld-one
LoveToKnow Corp.,https://www.crunchbase.com/organization/lovetoknow-corp
Multiple Myeloma Research Foundation,https://www.crunchbase.com/organization/multiple-myeloma-research-foundation
Zip,https://www.crunchbase.com/organization/zip-f492
Games Workshop Ltd,https://www.crunchbase.com/organization/games-workshop-warhammer-online
Conceptboard,https://www.crunchbase.com/organization/conceptboard
Conceptboard,https://www.crunchbase.com/organization/conceptboard
DataLog Finance,https://www.crunchbase.com/organization/datalog-finance
Wine Management Systems,https://www.crunchbase.com/organization/wine-management-systems
Juice Marketing,https://www.crunchbase.com/organization/juice-marketing-931f
Xiao Shi Jie,https://www.crunchbase.com/organization/xiao-shi-jie
Yerbana,https://www.crunchbase.com/organization/yerbana
Lunchbox,https://www.crunchbase.com/organization/lunchbox-2df4
Intsig,https://www.crunchbase.com/organization/intsig
DolEx Dollar Express,https://www.crunchbase.com/organization/dolex-dollar-express-inc
I-V Access Technology,https://www.crunchbase.com/organization/i-v-access-technology
BlueStone Venture Partners,https://www.crunchbase.com/organization/bluestone-venture-partners
Clue Insights,https://www.crunchbase.com/organization/clue-insights
Bungkusit,https://www.crunchbase.com/organization/bungkusit
Virtual Employee,https://www.crunchbase.com/organization/virtualemployee-com
Sensient Technologies,https://www.crunchbase.com/organization/sensient-technologies
Bungkusit,https://www.crunchbase.com/organization/bungkusit
Virtual Employee,https://www.crunchbase.com/organization/virtualemployee-com
Sensient Technologies,https://www.crunchbase.com/organization/sensient-technologies
Checkup Gaming,https://www.crunchbase.com/organization/checkup-gaming
Car Guy Nation,https://www.crunchbase.com/organization/car-guy-nation
"Leading BioSciences, Inc.",https://www.crunchbase.com/organization/leading-biosciences-inc
Mekano,https://www.crunchbase.com/organization/mekano
HiGear,https://www.crunchbase.com/organization/higear
Deep View Technology,https://www.crunchbase.com/organization/deep-view-technology
North American Corporation,https://www.crunchbase.com/organization/north-american-corporation
Pure Water,https://www.crunchbase.com/organization/pure-water-659a
anyStarr,https://www.crunchbase.com/organization/anystarr
Aiitec,https://www.crunchbase.com/organization/aiitec
Afferent Technologies,https://www.crunchbase.com/organization/afferent-technologies
Pixr8,https://www.crunchbase.com/organization/pixr8
PurpleTalk,https://www.crunchbase.com/organization/purpletalk
Wecken & Cie.,https://www.crunchbase.com/organization/wecken-cie
icanbring.it,https://www.crunchbase.com/organization/icanbring-it
Contemi Solutions,https://www.crunchbase.com/organization/contemi
Kaholo,https://www.crunchbase.com/organization/kaholo
Heath Robinson Museum,https://www.crunchbase.com/organization/heath-robinson-museum
525system,https://www.crunchbase.com/organization/525system
52 Jingsai,https://www.crunchbase.com/organization/52-jingsai
Emerson Electric,https://www.crunchbase.com/organization/emerson-electric-2
Georgia Southern University Research and Service Foundation,https://www.crunchbase.com/organization/georgia-southern-university-research-and-service-foundation
Worthington Industries,https://www.crunchbase.com/organization/worthington-industries
PlayEnable,https://www.crunchbase.com/organization/playenable
